question,model,prompt_template,response_time,status,match,sql_query,sql_result
Where is it raining?,llama3,default,98.45293736457825,sql_error,False,,
Where is it the hottest?,llama3,default,13.16597580909729,ok,True,"SELECT City, MAX(Temperature) FROM Weather GROUP BY City","Bangalore, 28, Beijing, 24, Buenos Aires, 23, Cairo, 32, Cape Town, 19, Chicago, 18, Houston, 30, Johannesburg, 20, London, 18, Los Angeles, 25, Moscow, 15, Mumbai, 30, New York, 22, Paris, 21, Phoenix, 35, Rio de Janeiro, 29, Sydney, 22, Tokyo, 26, Toronto, 20, Warsaw, 16"
What is the temperature in Warsaw?,llama3,default,13.017001867294312,ok,True,SELECT Temperature FROM Weather WHERE City LIKE '%Warsaw%',16
Which cities have tropical climate?,llama3,default,13.213586568832396,ok,True,SELECT City FROM Weather WHERE Climate LIKE '%tropical%',"Houston, Bangalore, Tokyo, Sydney, Rio de Janeiro, Mumbai, Buenos Aires, Johannesburg"
Is it cloudy in Berlin?,llama3,default,16.560028553009033,ok,False,SELECT * FROM Weather WHERE City LIKE '%Berlin%' AND Weather = 'cloudy',
What's the temperature in Fort Worth?,llama3,default,15.794850587844849,sql_error,False,,
Where is it the coldest?,llama3,default,15.347718000411987,ok,True,"SELECT City, MIN(Temperature) FROM Weather GROUP BY City","Bangalore, 28, Beijing, 24, Buenos Aires, 23, Cairo, 32, Cape Town, 19, Chicago, 18, Houston, 30, Johannesburg, 20, London, 18, Los Angeles, 25, Moscow, 15, Mumbai, 30, New York, 22, Paris, 21, Phoenix, 35, Rio de Janeiro, 29, Sydney, 22, Tokyo, 26, Toronto, 20, Warsaw, 16"
Which cities have temperate climate?,llama3,default,14.240752935409546,ok,True,SELECT City FROM Weather WHERE Climate LIKE '%temperate%',"New York, Warsaw, London, Paris"
WHere is it the hotest?,llama3,default,14.108474731445312,sql_error,False,,
Where is the sky clear?,llama3,default,13.216986656188965,sql_error,False,,
Where is it 20 degrees?,llama3,default,11.884536266326904,sql_error,False,,
What is the average temperature in sunny cities?,llama3,default,16.026560306549072,sql_error,False,,
Where is it raining?,llama3,schema_only,65.29068946838379,sql_error,False,,
Where is it the hottest?,llama3,schema_only,53.64188599586487,sql_error,False,,
What is the temperature in Warsaw?,llama3,schema_only,49.75174307823181,sql_error,False,,
Which cities have tropical climate?,llama3,schema_only,41.98598599433899,sql_error,False,,
Is it cloudy in Berlin?,llama3,schema_only,46.71772646903992,sql_error,False,,
What's the temperature in Fort Worth?,llama3,schema_only,32.77593994140625,sql_error,False,,
Where is it the coldest?,llama3,schema_only,47.62142372131348,sql_error,False,,
Which cities have temperate climate?,llama3,schema_only,46.90664196014404,sql_error,False,,
WHere is it the hotest?,llama3,schema_only,44.42563605308533,sql_error,False,,
Where is the sky clear?,llama3,schema_only,46.709476709365845,sql_error,False,,
Where is it 20 degrees?,llama3,schema_only,35.24556636810303,sql_error,False,,
What is the average temperature in sunny cities?,llama3,schema_only,48.51062750816345,sql_error,False,,
Where is it raining?,llama3,instructional,57.95460653305054,sql_error,False,,
Where is it the hottest?,llama3,instructional,45.20511674880981,sql_error,False,,
What is the temperature in Warsaw?,llama3,instructional,44.98570251464844,sql_error,False,,
Which cities have tropical climate?,llama3,instructional,44.98831009864807,sql_error,False,,
Is it cloudy in Berlin?,llama3,instructional,40.96525716781616,ok,False,SELECT 1 AS is_cloudy,1
What's the temperature in Fort Worth?,llama3,instructional,45.47802662849426,sql_error,False,,
Where is it the coldest?,llama3,instructional,43.88747429847717,sql_error,False,,
Which cities have temperate climate?,llama3,instructional,38.94470000267029,sql_error,False,,
WHere is it the hotest?,llama3,instructional,42.31484484672546,no_sql,False,,
Where is the sky clear?,llama3,instructional,39.884291648864746,no_sql,False,,
Where is it 20 degrees?,llama3,instructional,40.51010990142822,sql_error,False,,
What is the average temperature in sunny cities?,llama3,instructional,40.54482913017273,sql_error,False,,
Where is it raining?,llama3,few_shot,46.413309812545776,sql_error,False,,
