model,prompt_template,accuracy,valid_sql_rate,avg_response_time,count
gpt-4o-mini,default,0.5833333333333334,0.9166666666666666,17.792170524597168,24
gpt-4o-mini,few_shot,0.5833333333333334,0.8333333333333334,20.140006760756176,24
gpt-4o-mini,instructional,0.0,0.0,19.409576644500095,24
gpt-4o-mini,rag_style,0.0,0.0,19.31676936149597,7
gpt-4o-mini,schema_only,0.0,0.0,16.567773709694546,24
juierror/text-to-sql-with-table-schema,juierror/text-to-sql-with-table-schema,0.16666666666666666,0.25,1.4842880169550579,12
llama3,conversational,0.08333333333333333,0.3333333333333333,12.866183683276176,48
llama3,default,0.3958333333333333,0.5,17.559926971793175,48
llama3,few_shot,0.4791666666666667,0.6458333333333334,28.33342967927456,48
llama3,instructional,0.0,0.08333333333333333,42.488141387701035,48
llama3,rag_style,0.0,0.0,39.94375169277191,48
llama3,schema_only,0.0,0.0,41.25644335150719,48
mistral,conversational,0.0,0.0,15.379164715607962,48
mistral,default,0.5,0.8333333333333334,20.388156553109486,48
mistral,few_shot,0.4166666666666667,0.5833333333333334,30.79552132387956,48
mistral,instructional,0.20833333333333334,0.3333333333333333,42.93817468980948,48
mistral,rag_style,0.08333333333333333,0.16666666666666666,37.17329311867555,48
mistral,schema_only,0.3333333333333333,0.5625,33.8470801115036,48
phi3:mini,conversational,0.0,0.0,10.57740193605423,12
phi3:mini,default,0.4166666666666667,0.6666666666666666,24.009556770324707,12
phi3:mini,few_shot,0.5833333333333334,0.75,13.567780077457428,12
phi3:mini,instructional,0.3333333333333333,0.6666666666666666,24.738061507542927,12
phi3:mini,rag_style,0.3333333333333333,0.6666666666666666,21.877831161022186,12
phi3:mini,schema_only,0.25,0.5,41.65719419717789,12
tscholak/1zha5ono,tscholak/1zha5ono,0.08333333333333333,0.6666666666666666,2.568874498208364,12
